ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids,l_RVB
00000,"['0', '5', '0', '5']",12.958629898636513,0.31538655252793657,0.6505303198713364,9.86432375500781,0.857095873548524,0.0,9.679215691775525,37.32,8.561,11.44,1.6417281208723289,306.02666666666664,33.94666666666666,51.56,99.17000000000002,-0.9591669853989394,2.3816138101179685,3.56,1.4544000000000004,1.3732000000000002,0.1544825052715459,-1.0368944289468416,0.15187384904095066,0.0003728717056833043,2.7949371062097135,14.315551384009526,0.47175384615384613,3,0.5048844827086413
00001,"['0', '5', '1', '6']",12.755117246707917,0.4900221655529667,0.48275920568207537,9.67576479272052,1.6681293934328199,0.0,10.907778559557388,38.56,9.121,11.6,1.607401081757071,303.84,36.86666666666666,54.343333333333334,99.92333333333335,-0.9402305864536551,2.3283991606164762,3.88,1.5648000000000002,1.5506666666666664,0.2162140323570276,-0.9168029026774517,0.21991221885403264,0.00042760246177788597,2.8088765195243717,13.197068981017344,0.47175384615384613,3,0.5048844827086413
00002,"['0', '5', '2', '7']",12.535725578341289,0.4764445857103444,0.4788743658993071,9.770852672293799,4.049729297792462,0.8853235425454153,10.814448493841669,41.84,10.121,11.68,1.4553856384318613,312.3333333333333,43.06666666666666,59.98,101.94666666666667,-0.9330355707742176,2.3434476242762408,4.44,1.8048000000000002,1.9013333333333335,0.22468771496340956,-0.8497716738618816,0.3347035047632676,0.0005188256983668229,2.8442605784898656,12.564087882132274,0.23587692307692307,3,0.5048844827086413
00003,"['0', '5', '3', '8']",12.546579854748998,0.26042627905702104,0.6723734631601775,9.793223336299233,6.403836869104907,1.7127570427318084,10.923022812531874,45.32,10.880999999999998,11.76,1.3363751728609032,324.33333333333326,50.14666666666666,64.48,103.81666666666668,-0.9017356795011,2.33372450746855,5.04,2.0784000000000002,2.289066666666667,0.20835367100801627,-0.7930883517173316,0.4720211933596967,0.0006267078025109476,2.889837903389461,12.815761901474396,0.0006290598290598291,2,0.782608695652174
00004,"['0', '5', '4', '9']",12.91903300266878,0.5759994670798029,0.36020360892526504,9.112644456908919,8.649899370574877,4.131739542450275,11.674192856434527,47.12,10.880999999999998,11.92,1.3848709788166114,329.2133333333333,55.62666666666666,63.56333333333332,105.25000000000001,-0.820431312987319,2.528940903854097,5.4,2.2831999999999995,2.6218666666666666,0.1830944783351565,-0.7700736768991575,0.53132893406327,0.0006631242787490823,2.9118142909720968,12.815761901474396,0.09621196581196581,5,0.563499395920688
00005,"['0', '5', '5', '10']",13.97932321570553,0.6121525210922004,0.3215006504919043,8.994116812261222,11.65149072492238,6.455090195256774,11.20756695807301,48.32,10.081,12.0,1.6107936365514746,332.0933333333333,59.53333333333333,58.05333333333334,106.48999999999998,-0.7755502940351053,2.6988807418693086,5.64,2.4352,2.947866666666666,0.162408950856747,-0.7397832486384546,0.5577706933433173,0.0006697922427363598,2.916304130948853,14.219623334374802,0.24691965811965813,10,0.6027082410279132
00006,"['0', '5', '6', '11']",15.445240061498799,0.7039309751544057,0.24627585133135785,9.139188149291554,14.394428369616058,8.849593386383592,8.311191634475335,49.36,8.841000000000001,12.0,1.875908344509889,336.3733333333333,62.65333333333333,50.18333333333333,107.81333333333332,-0.7736612567024072,2.9180545472625563,6.24,2.5616000000000003,3.605866666666667,0.24996923557525816,-0.6109792662411917,0.5401862768755405,0.0006364865939636733,2.8956508166829384,15.795654825903645,0.4410666666666667,11,0.618454097293275
00007,"['0', '5', '7', '12']",17.223288189358186,0.7106273464483758,0.22846068458679142,8.735901140880147,14.875479044060972,8.865488430494715,6.717746982612826,50.04,7.401,12.08,2.3211212236503433,338.4800000000001,65.99999999999999,41.70666666666666,108.56666666666666,-0.7510227610954472,2.7688787385792195,7.16,2.6927999999999996,4.8759999999999994,0.42883025686294657,-0.3696943824823991,0.48229418705929045,0.0005765276867973296,2.857474743290295,19.546224427647903,0.5907760683760684,12,0.6353514426916355
00008,"['0', '5', '8', '13']",18.501799282837247,0.5726568534779195,0.39405154783214197,8.429332736074214,15.207580992146621,8.92875823922149,5.813101255257559,50.36,6.321000000000001,12.16,2.597217157530264,339.8,69.17333333333333,34.90333333333333,109.59999999999998,-0.7328429675484616,2.7304928168816356,8.2,2.8287999999999998,6.280133333333334,0.6137098981976784,-0.13006784157589968,0.40725671377328565,0.0005034802945776315,2.8136950671731364,19.77162769740397,0.9933264957264957,13,0.6159877197571486
00009,"['0', '5', '9', '14']",19.037281663224604,0.20016524288767618,0.7159646121194433,9.18335210748716,15.968219200324922,7.384082534394638,5.778177135050395,49.96,5.761,12.16,2.7013215112073463,333.44,71.25333333333333,32.68333333333333,110.44333333333333,-0.7238483045436772,2.4745035249900287,9.0,2.9344,6.944266666666667,0.7890002746203538,0.10932456642164784,0.4758617231779993,0.0005717418703423459,2.7990892909787912,22.042251673203243,0.9800820512820514,12,0.6307373532304987
