ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity
00000,"['0', '5', '0', '5']",9.93051621165322,0.42672489642792044,0.5422963118350295,8.888062629046175,4.235800974936764,0.0,13.653617150372511,44.84,14.520999999999999,2.2,0.17242175903967133,219.4933333333333,48.17333333333333,82.76333333333332,34.61666666666667,1.5992667655724404,1.9504850300763639,3.68,2.0831999999999997,1.1346666666666667,0.057873931876147075,-1.0909421553234697,1.2786063805501593,0.8708340683642117,3.0179504836561524,11.01506161019977,0.0
00001,"['0', '5', '1', '6']",9.720810957214383,0.7068547640084922,0.2628985561044784,9.35679058740682,5.822404819238845,2.615410333753587,13.23138653651195,46.48,15.520999999999999,2.2,0.16471692373879968,221.42666666666668,53.10666666666666,88.34999999999998,33.486666666666665,1.5940638370159197,2.0712483239381756,3.96,2.2848,1.1369333333333334,0.036754536599470096,-1.0258691641314015,1.5699681560784597,1.1751391093083838,3.0378444346893825,10.234844764069297,0.0
00002,"['0', '5', '2', '7']",9.370162550413307,0.6322396726122865,0.3054659261637693,9.828932761054503,8.23612731254911,5.155688621678234,12.812197647494509,49.84,17.281,2.2,0.1466993969178471,224.73333333333335,61.23999999999999,95.81666666666666,33.85,1.594851950547719,2.5250855343833116,4.4,2.6208,1.16,0.1064925630847628,-0.9592188395355883,2.1007890247941385,1.7521381770886146,3.085591950622182,9.34468086126284,0.0
00003,"['0', '5', '3', '8']",8.95970528745426,0.46681370085892476,0.4528280480536269,9.91989134529998,10.693327617241053,7.666391816764027,12.33320575663221,52.84,19.041,2.2,0.12868187009689452,231.38666666666666,69.03999999999999,103.37666666666667,33.41333333333333,1.5119700649284302,3.111604377378137,4.96,2.9440000000000004,1.2563999999999997,0.15760726479559117,-0.7925014826539595,2.603825823569552,2.2791630176129005,3.1297851668273897,9.170260146144788,0.0
00004,"['0', '5', '4', '9']",8.620250583254332,0.45643278849011093,0.4921982448687717,10.500815451013377,12.27015151823491,8.546250759583238,11.454751575998113,53.68,20.041,2.2,0.12097703479602291,239.0533333333333,72.85333333333332,107.90333333333334,32.18,1.4439411043260657,3.418568072087968,5.56,3.1023999999999994,1.3895999999999997,0.28719584737792864,-0.4044252797754499,2.83347851424001,2.508254389315862,3.142295995024134,9.357006400189938,0.0
00005,"['0', '5', '5', '10']",8.422755536653778,0.5166529459414163,0.4823535615443769,10.549897269619889,11.902854757769028,9.40917908367239,10.771013836737625,52.92,20.201,2.2,0.12045700077941265,243.3466666666667,73.96,108.25333333333334,31.739999999999995,1.315217652222752,3.660506521221547,6.04,3.1567999999999996,1.5871999999999997,0.38943710318297486,-0.026826824761529106,2.849495791113153,2.4732520444535493,3.1359028793797763,8.979408059396993,0.0
00006,"['0', '5', '6', '11']",8.359359242149255,0.3901414355214781,0.5621109151710062,10.62993078756993,13.34850848762585,6.793768749918802,10.28730786123779,51.24,19.721,2.2,0.12387597854968492,245.35999999999996,71.64000000000001,104.44,32.27,1.1785008077937769,3.9044549236309067,6.36,3.0671999999999997,1.867866666666667,0.5189453057280938,0.29028169510063434,2.538887229731687,1.9129732478049108,3.113964231232182,8.584635439252791,0.0
00007,"['0', '5', '7', '12']",8.451954627482664,0.42278715871216327,0.5172443092522838,10.589602549134069,14.491027449776036,4.253490461994155,10.147828770887644,49.16,18.801,2.2,0.13138033269628752,250.75999999999996,67.8,99.56333333333333,31.903333333333336,1.124524175246609,3.990580870475773,6.56,2.9328000000000003,2.1799999999999997,0.5824014308490222,0.4983856442903079,2.1208030997062455,1.3360408341335261,3.081917960643295,8.517058716985545,0.07480727272727274
00008,"['0', '5', '8', '13']",8.816793241486545,0.6250405964500378,0.32156206865232345,10.747216560509917,15.54100166961614,1.7427872669083624,10.558368772453973,46.92,17.361,2.2,0.1452179252319294,247.6533333333333,63.37333333333333,90.87333333333333,32.8,1.1359984993832626,4.077300271195805,6.52,2.7792000000000003,2.3748,0.6618159428909098,0.5419742870053414,1.7047434425944255,0.8090659900556342,3.0500765022455507,8.896312123239138,0.23553454545454547
00009,"['0', '5', '9', '14']",9.375566418279595,0.7021518189833746,0.2554079210730615,10.44825424096446,15.273692043697018,1.5703473239005614,11.37093047309947,44.64,15.600999999999999,2.2,0.16390383370241654,244.98666666666665,60.04,81.85,33.38,0.9331820948658415,3.9620386576957536,6.4,2.6576,2.6633333333333336,0.5669951024626009,0.22039899603001678,1.2532531131048186,0.3237245497614542,3.006128944275821,10.009296915073925,0.3980945454545455
00010,"['0', '5', '10', '15']",10.025622739189577,0.6715904943228568,0.27393595455078623,9.6064151580731,15.000852381550333,3.8538728484733906,12.509085675429994,42.44,13.800999999999998,2.2,0.186083601081267,250.06666666666663,57.18666666666666,74.10333333333332,33.18666666666667,0.6332536001385146,3.593178493436923,6.4,2.5488000000000004,3.281466666666667,0.5499885447084434,-0.12859962084120377,0.8441472342333204,0.001054354029144232,2.9378162211338785,11.122923657786643,0.7823636363636364
00011,"['0', '5', '11', '16']",10.664689010107116,0.5779740668462297,0.341645526759245,8.736441710775612,14.368992424383999,6.986208899734211,13.55586224046983,40.76,12.241,2.2,0.2064718309030581,263.0266666666667,55.94666666666665,68.60666666666665,33.376666666666665,0.2803531568524049,3.090759036508595,6.32,2.4944,3.6820000000000004,0.5000972081755366,-0.4927364788516211,0.609771783082997,0.0007482953720815537,2.8900014228858915,11.541447435624985,0.9272509090909091
00012,"['0', '5', '12', '17']",11.278131288110982,0.5238943421017409,0.3652223179714348,8.10557562860403,13.79045356444954,10.090522785928473,14.507126877730077,39.96,11.081,2.2,0.22303105351848287,275.4666666666667,56.69333333333332,65.19666666666666,33.42333333333333,-0.07195952114915338,2.5346769274195684,6.52,2.4976000000000003,4.102,0.5012461285036861,-0.6536252980534876,0.5040814335805329,0.0006483646553434356,2.857651670831156,12.03772616538995,0.9081527272727272
